disease_name,department
Mụn Cóc Ở Chân,Dermatology
Mụn Cóc Ở Tay,Dermatology
Mụn Cóc,Dermatology
Mụn Nội Tiết,Dermatology
Mụn Trứng Cá Tuổi Dậy Thì,Dermatology
Mụn Trứng Cá Ở Cằm,Dermatology
Mụn Trứng Cá Ở Lưng,Dermatology
Mụn Trứng Cá,Dermatology
Mụn Ẩn,Dermatology
Nang Cơ Năng Buồng Trứng,
Nang Vú,
Nang Đơn Thận,
Nghe Kém Một Bên Tai,ENT
Nghe Kém,ENT
Ngoại Tâm Thu Thất,
Ngưng Thở Khi Ngủ,ENT
Ngộ Độc Botulinum,Gastroenterology
Ngộ Độc Thuốc Diệt Chuột,
Ngộ Độc Thực Phẩm,Gastroenterology
Ngủ Ngáy,ENT
Ngứa Hậu Môn,Gastroenterology
Nhau Bong Non,
Nhau Bám Thấp,
Nhau Tiền Đạo,
Nhiễm Khuẩn H,Gastroenterology
Nhiễm Khuẩn Đường Tiết Niệu,
Nhiễm Ký Sinh Trùng,Gastroenterology
Nhiễm Toan Ceton,
Nhiễm Trùng Bàn Chân Tiểu Đường,
Nhiễm Trùng Hậu Sản,
Nhiễm Trùng Đường Ruột,Gastroenterology
Nhiễm Vi Khuẩn Salmonella,Gastroenterology
Nhiễm Ấu Trùng Sán Dây Lợn,Gastroenterology
Nhân Tuyến Giáp,
Nhịp Nhanh Nhĩ,
Nhịp Nhanh Thất,
Nhồi Máu Cơ Tim Không ST Chênh Lên,
Nhồi Máu Cơ Tim Thất Phải,
Nhồi Máu Não,
Nám Da,Dermatology
Nám Nội Tiết,Dermatology
Não Úng Thủy,
Nóng Gan,Gastroenterology
Nấm Ống Tai Ngoài,ENT
Nốt Ruồi,Dermatology
Nứt Kẽ Hậu Môn,Gastroenterology
Nữ Hóa Tuyến Vú,
Omicron Tàng Hình,Respiratory
Phát Ban Ở Ngực,Dermatology
Phì Đại Tuyến Tiền Liệt,
Phì Đại Tuyến Vú,
Phù Mạch Bạch Huyết Cánh Tay,
Phế Cầu Khuẩn,Respiratory
Polyp Dây Thanh Quản,ENT
Polyp Dạ Dày,Gastroenterology
Polyp Hậu Môn,Gastroenterology
Polyp Trực Tràng,Gastroenterology
Polyp Đại Tràng,Gastroenterology
Protein Niệu,
Ra Mồ Hôi Tay Chân Nhiều,Dermatology
Rau Bám Mép,
Rau Cài Răng Lược,
Rau Tiền Đạo,
Rong Kinh Tiền Mãn Kinh,
Rong Kinh,
Rung Nhĩ,
Rò Hậu Môn,Gastroenterology
Rò Luân Nhĩ,ENT
Rối Loạn Chuyển Hóa Bẩm Sinh,
Rối Loạn Cương Dương,
Rối Loạn Giấc Ngủ,
Rối Loạn Giọng Nói,ENT
Rối Loạn Kinh Nguyệt,
Rối Loạn Lipid Máu,
Rối Loạn Lo Âu Lan Tỏa,
Rối Loạn Lo Âu,
Rối Loạn Lưỡng Cực,
Rối Loạn Nhịp Tim Chậm,
Rối Loạn Nhịp Tim,
Rối Loạn Nội Tiết Tố Sau Sinh,
Rối Loạn Nội Tiết,
Rối Loạn Phân Ly,
Rối Loạn Sàn Chậu,
Rối Loạn Tiêu Hóa,Gastroenterology
Rối Loạn Tiền Đình,ENT
Rụng Tóc,Dermatology
Sa Sút Trí Tuệ,
Sa Tinh Hoàn,
Sa Trực Tràng,Gastroenterology
Sa Tạng Chậu,
Sa Tử Cung Khi Mang Thai,
Sa Tử Cung,
Sinh Non,
Suy Buồng Trứng Sớm,
Suy Gan Cấp,Gastroenterology
Suy Gan Mãn Tính,Gastroenterology
Suy Gan,Gastroenterology
Suy Giãn Tĩnh Mạch Chi Dưới,
Suy Giãn Tĩnh Mạch Sau Chi Dưới,
Suy Giảm Testosterone,
Suy Hô Hấp,Respiratory
Suy Thận Cấp,
Suy Thận Mạn,
Suy Thận,
Suy Tim Giai Đoạn Cuối,
Suy Tim Mãn Tính,
Suy Tim Mất Bù,
Suy Tim Phải,
Suy Tim Sung Huyết,
Suy Tim Trái,
Suy Tim,
Suy Tuyến Thượng Thận,
Suy Tĩnh Mạch Mạn Tính,
Sán Lá Phổi,Respiratory
Sán Lợn Gạo,Gastroenterology
Són Tiểu,
Sùi Mào Gà Ở Nữ,Dermatology
Sùi Mào Gà,Dermatology
Sản Giật,
Sẹo Lồi,Dermatology
Sẹo Rỗ,Dermatology
Sỏi Bàng Quang,
Sỏi Bùn Túi Mật,Gastroenterology
Sỏi Mật,Gastroenterology
Sỏi Niệu Quản,
Sỏi Thận,
Sỏi Tiết Niệu,
Sỏi Ống Mật Chủ,Gastroenterology
Sốt Rét,
Sốt Siêu Vi,
Sốt Xuất Huyết,
Tai Biến Mạch Máu Não,
Teo Cơ Do Đái Tháo Đường,
Teo Tính Hoàn,
Thai Lưu,
Thay Đổi Sợi Bọc Tuyến Vú,
Thiếu Men G6PD,
Thiếu Máu Cơ Tim Cục Bộ Mạn Tính,
Thiếu Máu Cơ Tim,
Thiếu Máu Não,
Thoái Hóa Khớp Cổ Chân,
Thoái Hóa Khớp Cổ Tay,
Thoái Hóa Khớp,
Thoát Vị Khe Hoành,Gastroenterology
Thuyên Tắc Ối,
Thông Liên Nhĩ,
Thông Liên Thất,
Thận Đa Nang,
Thừa Estrogen,
Tim Đập Nhanh,
Tinh Hoàn Lạc Chỗ,
Tinh Hoàn Ẩn,
Tinh Trùng Yếu,
Tiêu Chảy,Gastroenterology
Tiết Dịch Núm Vú,
Tiền Sản Giật,
Tiền Tiểu Đường,
Tiểu Buốt,
Tiểu Không Tự Chủ,
Tiểu Đêm,
Tiểu Đường Bị Ngứa Da,Dermatology
Tiểu Đường Tuýp 1,
Tiểu Đường Tuýp 2,
Truyền Máu Song Thai,
Trào Ngược Dạ Dày Thực Quản,Gastroenterology
Trầm Cảm Sau Sinh,
Trầm Cảm,
Tái Cực Sớm,
Táo Bón,Gastroenterology
Tê Bì Chân Tay,
Túi Phình Mạch Máu Não,
Túi Thừa Niệu Đạo,
Tăng Acid Uric Máu,
Tăng Huyết Áp Thai Kỳ,
Tăng Huyết Áp Vô Căn,
Tăng Huyết Áp,
Tăng Men Gan,Gastroenterology
Tăng Tiết Mồ Hôi,Dermatology
Tăng Áp Phổi,Respiratory
Tật Khúc Xạ,
Tắc Mạch Máu Não,
Tắc Tia Sữa Sau Sinh,
Tắc Vòi Trứng,
Tắc Ống Dẫn Tinh,
Tứ Chứng Fallot,
U Máu,
U Mềm Treo,Dermatology
U Nang Buồng Trứng,
U Nhú Sinh Dục,Dermatology
U Nhầy Xoang Trán,ENT
U Não Lành Tính,
U Não,
U Thận Lành Tính,
U Trung Thất,Respiratory
U Tuy Sống,
U Tuyến Giáp,
U Tuyến Nước Bọt Mang Tai,ENT
U Tuyến Tùng,
U Xơ Tử Cung Khi Mang Thai,
U Xương,
Ung Thư Biểu Mô Ống Tuyến Vú Tại Chỗ,
Ung Thư Buồng Trứng Giai Đoạn 1,
Ung Thư Buồng Trứng Giai Đoạn 4,
Ung Thư Buồng Trứng,
Ung Thư Cổ Tử Cung Giai Đoạn 1,
Ung Thư Cổ Tử Cung Giai Đoạn 2,
Ung Thư Cổ Tử Cung Giai Đoạn Cuối,
Ung Thư Cổ Tử Cung,
Ung Thư Da,Dermatology
Ung Thư Dương Vật,
Ung Thư Dạ Dày Di Căn,Gastroenterology
Ung Thư Dạ Dày Giai Đoạn Cuối,Gastroenterology
Ung Thư Dạ Dày,Gastroenterology
Ung Thư Gan,Gastroenterology
Ung Thư Phổi Không Tế Bào Nhỏ Giai Đoạn 1,Respiratory
Ung Thư Phổi Không Tế Bào Nhỏ Giai Đoạn 2,Respiratory
Ung Thư Phổi Không Tế Bào Nhỏ Giai Đoạn 3,Respiratory
Ung Thư Phổi,Respiratory
Ung Thư Thanh Quản,ENT
Ung Thư Thận,
Ung Thư Thực Quản,Gastroenterology
Ung Thư Tinh Hoàn,
Ung Thư Tuyến Giáp,
Ung Thư Tuyến Tiền Liệt,
Ung Thư Vòm Họng Giai Đoạn 0,ENT
Ung Thư Vòm Họng Giai Đoạn 1,ENT
Ung Thư Vòm Họng Giai Đoạn 2,ENT
Ung Thư Vòm Họng Giai Đoạn 3,ENT
Ung Thư Vòm Họng Giai Đoạn Đầu,ENT
Ung Thư Vòm Họng,ENT
Ung Thư Vú Giai Đoạn 0,
Ung Thư Vú Giai Đoạn 1,
Ung Thư Vú Giai Đoạn 2,
Ung Thư Vú Giai Đoạn 3,
Ung Thư Vú Giai Đoạn 4,
Ung Thư Vú Giai Đoạn Đầu,
Ung Thư Vú Tái Phát,
Ung Thư Vú,
Ung Thư Xương,
Ung Thư Đại Tràng Giai Đoạn 0,Gastroenterology
Ung Thư Đại Tràng Giai Đoạn 1,Gastroenterology
Ung Thư Đại Tràng Giai Đoạn 2,Gastroenterology
Ung Thư Đại Tràng Giai Đoạn 3,Gastroenterology
Ung Thư Đại Tràng Giai Đoạn 4,Gastroenterology
Ung Thư Đại Tràng,Gastroenterology
Viêm Amidan Hốc Mủ,ENT
Viêm Amidan Mạn Tính,ENT
Viêm Amidan,ENT
Viêm Bao Gan Ngón Tay,
Viêm Bao Hoạt Dịch Cổ Tay,
Viêm Bao Hoạt Dịch Khớp Cổ Chân,
Viêm Bao Hoạt Dịch Khớp Gối,
Viêm Bao Hoạt Dịch Khớp Háng,
Viêm Bao Hoạt Dịch Khớp Vai,
Viêm Bao Quy Đầu,
Viêm Bàng Quang Cấp,
Viêm Bàng Quang Kẽ,
Viêm Bàng Quang Mạn Tính,
Viêm Bàng Quang Xuất Huyết,
Viêm Bàng Quang Ở Nữ Giới,
Viêm Bàng Quang,
Viêm Bể Thận,
Viêm Bờ Mi Trên Mắt,
Viêm Cầu Thận Cấp,
Viêm Cầu Thận Lupus,
Viêm Cầu Thận Mạn,
Viêm Cầu Thận,
Viêm Da Cơ Địa,Dermatology
